"ID","guid","post_type","post_title","blog_number"
200281,"https://qa.unthsc.edu/school-of-health-professions?page_id=200281","page","Physician Assistant Studies",12
200063258,"https://qa.unthsc.edu/school-of-health-professions?page_id=200063258","page","Commencement Ceremony",12
200282647,"https://qa.unthsc.edu/school-of-health-professions?page_id=200282647","page","PA Class Resources",12
200282655,"https://qa.unthsc.edu/school-of-health-professions?page_id=200282655","page","Site Navigation",12
2002812198,"https://qa.unthsc.edu/school-of-health-professions?page_id=2002812198","page","Admissions Information",12
2002812199,"https://qa.unthsc.edu/school-of-health-professions?page_id=2002812199","page","Information Sessions",12
2002812207,"https://qa.unthsc.edu/school-of-health-professions?page_id=2002812207","page","Frequently Asked Questions - FAQ",12
2002813389,"https://qa.unthsc.edu/school-of-health-professions?page_id=2002813389","page","Current Students",12
2002813390,"https://qa.unthsc.edu/school-of-health-professions?page_id=2002813390","page","Future Students",12
2002813391,"https://qa.unthsc.edu/school-of-health-professions?page_id=2002813391","page","Faculty and Staff",12
2005731086,"https://qa.unthsc.edu/school-of-health-professions?page_id=2005731086","page","Admissions Information",12
200573000,"https://qa.unthsc.edu/school-of-health-professions/?page_id=200573000","page","SCHOOL OF HEALTH PROFESSIONS Download Pages",12
2005732011487,"https://qa.unthsc.edu/school-of-health-professions/?page_id=2005732011487","page","About us",12
20004,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=20004","page","GSBS",13
200041349,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041349","page","How to Apply",13
200041350,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041350","page","Degree and Certificate Programs",13
200041351,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041351","page","Fields of Study",13
200041353,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041353","page","Funding",13
200041356,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041356","page","Departments Participating in Summer Intern Programs",13
200041359,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041359","page","Class Schedules",13
200041360,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041360","page","Forms and Guidelines",13
200041363,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041363","page","Graduate Council",13
200041367,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041367","page","Graduation Information",13
200041375,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041375","page","Graduate Council Members",13
200041376,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041376","page","Graduate Council Minutes",13
200041377,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041377","page","Master of Science Degree in Medical Services",13
200041378,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041378","page","Clinical Research and Education: Osteopathic Manpulative Medicine",13
200041380,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041380","page","Biochemistry and Cancer Biology",13
200041381,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041381","page","Biomedical Sciences",13
200041382,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041382","page","Cell Biology",13
200041383,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041383","page","Forensic Genetics",13
200041387,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041387","page","Structural Anatomy & Rehabilitation Sciences",13
200041388,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041388","page","Visual Sciences",13
200041389,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041389","page","Integrative Physiology",13
200041390,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041390","page","M.S. & Ph.D. Degrees",13
200041392,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041392","page","Graduation Instructions and Forms",13
200041393,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041393","page","Biotechnology",13
200041394,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041394","page","Clinical Research Management",13
200041396,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041396","page","Primary Care Clinical Research",13
200041397,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041397","page","Post-Baccalaureate Research Education Program and Retention Enhancement (PREPARE)",13
200041398,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041398","page","Summer Multicultural Advancement Research Training",13
200041399,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041399","page","McNair Scholars Program",13
200041401,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041401","page","Special Programs for Undergraduates",13
200041402,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041402","page","HBCU Undergraduate Collaborative Summer Training Program in Prostate Cancer",13
200041404,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041404","page","GSBS Dean's Commendation Gold Star Award",13
200041405,"https://qa.unthsc.edu/graduate-school-of-biomedical-sciences/?page_id=200041405","page","Summer Training Among Research Scientists (STARS) Program",13
